"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response"
"1378","Confidence judgement (first response)","","confidence_first","html-keyboard-response","45","578359","0.0-6.0-2.11","32","prefer_not_to_say","","-1","-1","","","","right","88","50","88","false","62","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","46","578756","0.0-6.0-0.12","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=238, right=300, diff=62]","null","numerosity","html-keyboard-response","47","579317","0.0-6.0-1.12","32","prefer_not_to_say","","-1","-1","238","300","62","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1004","Confidence judgement (first response)","","confidence_first","html-keyboard-response","48","580322","0.0-6.0-2.12","32","prefer_not_to_say","","-1","-1","","","","right","92.75","50","92.75","true","61","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","49","580826","0.0-6.0-0.13","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=239, right=300, diff=61]","null","numerosity","html-keyboard-response","50","581340","0.0-6.0-1.13","32","prefer_not_to_say","","-1","-1","239","300","61","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1089","Confidence judgement (first response)","","confidence_first","html-keyboard-response","51","582431","0.0-6.0-2.13","32","prefer_not_to_say","","-1","-1","","","","right","86.75","50","86.75","true","60","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","52","582920","0.0-6.0-0.14","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=240, right=300, diff=60]","null","numerosity","html-keyboard-response","53","583464","0.0-6.0-1.14","32","prefer_not_to_say","","-1","-1","240","300","60","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1231","Confidence judgement (first response)","","confidence_first","html-keyboard-response","54","584697","0.0-6.0-2.14","32","prefer_not_to_say","","-1","-1","","","","right","91.75","50","91.75","true","60","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","55","585050","0.0-6.0-0.15","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=240, diff=60]","null","numerosity","html-keyboard-response","56","585583","0.0-6.0-1.15","32","prefer_not_to_say","","-1","-1","300","240","60","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1151","Confidence judgement (first response)","","confidence_first","html-keyboard-response","57","586736","0.0-6.0-2.15","32","prefer_not_to_say","","-1","-1","","","","right","84","50","84","false","63","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","58","587169","0.0-6.0-0.16","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=237, right=300, diff=63]","null","numerosity","html-keyboard-response","59","587689","0.0-6.0-1.16","32","prefer_not_to_say","","-1","-1","237","300","63","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"940","Confidence judgement (first response)","","confidence_first","html-keyboard-response","60","588632","0.0-6.0-2.16","32","prefer_not_to_say","","-1","-1","","","","right","92.5","50","92.5","true","62","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","61","588906","0.0-6.0-0.17","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=238, diff=62]","null","numerosity","html-keyboard-response","62","589417","0.0-6.0-1.17","32","prefer_not_to_say","","-1","-1","300","238","62","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1636","Confidence judgement (first response)","","confidence_first","html-keyboard-response","63","591055","0.0-6.0-2.17","32","prefer_not_to_say","","-1","-1","","","","left","96.25","96.25","50","true","61","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","64","591551","0.0-6.0-0.18","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=239, diff=61]","null","numerosity","html-keyboard-response","65","592086","0.0-6.0-1.18","32","prefer_not_to_say","","-1","-1","300","239","61","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1126","Confidence judgement (first response)","","confidence_first","html-keyboard-response","66","593216","0.0-6.0-2.18","32","prefer_not_to_say","","-1","-1","","","","left","98","98","50","true","61","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","67","593703","0.0-6.0-0.19","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=239, diff=61]","null","numerosity","html-keyboard-response","68","594234","0.0-6.0-1.19","32","prefer_not_to_say","","-1","-1","300","239","61","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1096","Confidence judgement (first response)","","confidence_first","html-keyboard-response","69","595331","0.0-6.0-2.19","32","prefer_not_to_say","","-1","-1","","","","left","97.75","97.75","50","true","60","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","70","595812","0.0-6.0-0.20","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=240, right=300, diff=60]","null","numerosity","html-keyboard-response","71","596359","0.0-6.0-1.20","32","prefer_not_to_say","","-1","-1","240","300","60","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1033","Confidence judgement (first response)","","confidence_first","html-keyboard-response","72","597393","0.0-6.0-2.20","32","prefer_not_to_say","","-1","-1","","","","left","95","95","50","false","63","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","73","597666","0.0-6.0-0.21","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=237, right=300, diff=63]","null","numerosity","html-keyboard-response","74","598179","0.0-6.0-1.21","32","prefer_not_to_say","","-1","-1","237","300","63","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"878","Confidence judgement (first response)","","confidence_first","html-keyboard-response","75","599059","0.0-6.0-2.21","32","prefer_not_to_say","","-1","-1","","","","left","92.5","92.5","50","false","66","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","76","599566","0.0-6.0-0.22","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=234, diff=66]","null","numerosity","html-keyboard-response","77","600079","0.0-6.0-1.22","32","prefer_not_to_say","","-1","-1","300","234","66","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1302","Confidence judgement (first response)","","confidence_first","html-keyboard-response","78","601382","0.0-6.0-2.22","32","prefer_not_to_say","","-1","-1","","","","left","98.5","98.5","50","true","65","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","79","601811","0.0-6.0-0.23","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=235, right=300, diff=65]","null","numerosity","html-keyboard-response","80","602357","0.0-6.0-1.23","32","prefer_not_to_say","","-1","-1","235","300","65","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1462","Confidence judgement (first response)","","confidence_first","html-keyboard-response","81","603821","0.0-6.0-2.23","32","prefer_not_to_say","","-1","-1","","","","right","92.25","50","92.25","true","64","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","82","604243","0.0-6.0-0.24","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=236, right=300, diff=64]","null","numerosity","html-keyboard-response","83","604804","0.0-6.0-1.24","32","prefer_not_to_say","","-1","-1","236","300","64","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1047","Confidence judgement (first response)","","confidence_first","html-keyboard-response","84","605853","0.0-6.0-2.24","32","prefer_not_to_say","","-1","-1","","","","right","88.25","50","88.25","true","64","","","","","","","","","","","","","","","","","","","","","",""
"9881","expInstruc","0","expInstructions","html-button-response","85","615737","0.0-7.0-0.0","32","prefer_not_to_say","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7610","expInstruc","0","expInstructions","html-button-response","86","623350","0.0-7.0-0.1","32","prefer_not_to_say","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4230","expInstruc","0","expInstructions","html-button-response","87","627581","0.0-7.0-0.2","32","prefer_not_to_say","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6535","expInstruc","0","expInstructions","html-button-response","88","634120","0.0-7.0-0.3","32","prefer_not_to_say","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3419","expInstruc","0","expInstructions","html-button-response","89","637539","0.0-7.0-0.4","32","prefer_not_to_say","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1887","expInstruc","0","expInstructions","html-button-response","90","639430","0.0-7.0-0.5","32","prefer_not_to_say","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2089","expInstruc","0","expInstructions","html-button-response","91","641522","0.0-7.0-0.6","32","prefer_not_to_say","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5621","expInstruc","0","expInstructions","html-button-response","92","647147","0.0-7.0-0.7","32","prefer_not_to_say","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4475","expInstruc","0","expInstructions","html-button-response","93","651625","0.0-7.0-0.8","32","prefer_not_to_say","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3440","expInstruc","0","expInstructions","html-button-response","94","655068","0.0-7.0-0.9","32","prefer_not_to_say","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"926","expInstruc","0","expInstructions","html-button-response","95","655997","0.0-7.0-0.10","32","prefer_not_to_say","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"807","expInstruc","0","expInstructions","html-button-response","96","656806","0.0-7.0-0.11","32","prefer_not_to_say","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2354","block message","0","block_message","html-button-response","97","659162","0.0-8.0","32","prefer_not_to_say","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","98","659632","0.0-9.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=236, diff=64]","null","numerosity","html-keyboard-response","99","660160","0.0-9.0-1.0","32","prefer_not_to_say","","-1","-1","300","236","64","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1700","Confidence judgement (first response)","","confidence_first","html-keyboard-response","100","661863","0.0-9.0-2.0","32","prefer_not_to_say","","-1","-1","","","","left","57.25","57.25","50","true","63","","","","","","","","","","","","","","","","","","","","","",""
"921","forcedAdvice","0","forced_advice_display","html-button-response","101","662785","0.0-9.0-4.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[advice: left]","null","show_advice","html-keyboard-response","102","663599","0.0-9.0-4.0-1.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","",""
"1173","Confidence judgment (second response)","","confidence_second","html-keyboard-response","103","664775","0.0-9.0-6.0","32","prefer_not_to_say","","-1","-1","","","","left","93.25","93.25","50","true","63","","","","","","","","","","","","","","","","","","","","","",""
"null","consolidated-trial-data","null","consolidated-trial-data","consolidated-trial-data","104","664780","0.0-10.0","32","prefer_not_to_say","","","","","","","","","","","","","","","0","0","0","300","236","64","left","57.25","2","nan","left","left","93.25","true","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","105","665280","0.0-11.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=237, diff=63]","null","numerosity","html-keyboard-response","106","665812","0.0-11.0-1.0","32","prefer_not_to_say","","-1","-1","300","237","63","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1320","Confidence judgement (first response)","","confidence_first","html-keyboard-response","107","667134","0.0-11.0-2.0","32","prefer_not_to_say","","-1","-1","","","","left","90.5","90.5","50","true","62","","","","","","","","","","","","","","","","","","","","","",""
"986","noAdvice","0","no_advice_display","html-button-response","108","668125","0.0-11.0-5.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","blank","null","blank_screen","html-keyboard-response","109","668993","0.0-11.0-5.0-1.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1028","Confidence judgment (second response)","","confidence_second","html-keyboard-response","110","670023","0.0-11.0-6.0","32","prefer_not_to_say","","-1","-1","","","","left","90.5","90.5","50","true","62","","","","","","","","","","","","","","","","","","","","","",""
"null","consolidated-trial-data","null","consolidated-trial-data","consolidated-trial-data","111","670028","0.0-12.0","32","prefer_not_to_say","","","","","","","","","","","","","","","0","1","1","300","237","63","left","90.5","3","nan","left","left","90.5","true","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","112","670254","0.0-13.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=238, right=300, diff=62]","null","numerosity","html-keyboard-response","113","670764","0.0-13.0-1.0","32","prefer_not_to_say","","-1","-1","238","300","62","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1401","Confidence judgement (first response)","","confidence_first","html-keyboard-response","114","672166","0.0-13.0-2.0","32","prefer_not_to_say","","-1","-1","","","","right","96.5","50","96.5","true","61","","","","","","","","","","","","","","","","","","","","","",""
"1208","[advice choice Y,N]","1","advice_choice","html-button-response","115","673377","0.0-13.0-3.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","blank","null","blank_screen","html-keyboard-response","116","674208","0.0-13.0-3.0-2.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1002","Confidence judgment (second response)","","confidence_second","html-keyboard-response","117","675212","0.0-13.0-6.0","32","prefer_not_to_say","","-1","-1","","","","right","96.5","50","96.5","true","61","","","","","","","","","","","","","","","","","","","","","",""
"null","consolidated-trial-data","null","consolidated-trial-data","consolidated-trial-data","118","675213","0.0-14.0","32","prefer_not_to_say","","","","","","","","","","","","","","","0","2","2","238","300","62","right","96.5","1","no","left","right","96.5","false","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","119","675580","0.0-15.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=239, right=300, diff=61]","null","numerosity","html-keyboard-response","120","676097","0.0-15.0-1.0","32","prefer_not_to_say","","-1","-1","239","300","61","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1791","Confidence judgement (first response)","","confidence_first","html-keyboard-response","121","677890","0.0-15.0-2.0","32","prefer_not_to_say","","-1","-1","","","","right","87","50","87","true","60","","","","","","","","","","","","","","","","","","","","","",""
"1166","[advice choice Y,N]","0","advice_choice","html-button-response","122","679059","0.0-15.0-3.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[advice: left]","null","show_advice","html-keyboard-response","123","679875","0.0-15.0-3.0-1.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","",""
"1373","Confidence judgment (second response)","","confidence_second","html-keyboard-response","124","681251","0.0-15.0-6.0","32","prefer_not_to_say","","-1","-1","","","","left","77.5","77.5","50","false","62","","","","","","","","","","","","","","","","","","","","","",""
"null","consolidated-trial-data","null","consolidated-trial-data","consolidated-trial-data","125","681255","0.0-16.0","32","prefer_not_to_say","","","","","","","","","","","","","","","0","3","3","239","300","61","right","87","1","yes","left","left","77.5","false","","","","","",""
"39540","block message","0","block_message","html-button-response","126","720799","0.0-17.0","32","prefer_not_to_say","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","127","721180","0.0-18.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=238, right=300, diff=62]","null","numerosity","html-keyboard-response","128","721696","0.0-18.0-1.0","32","prefer_not_to_say","","-1","-1","238","300","62","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1412","Confidence judgement (first response)","","confidence_first","html-keyboard-response","129","723109","0.0-18.0-2.0","32","prefer_not_to_say","","-1","-1","","","","right","92","50","92","true","62","","","","","","","","","","","","","","","","","","","","","",""
"1026","[advice choice Y,N]","0","advice_choice","html-button-response","130","724137","0.0-18.0-3.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[advice: left]","null","show_advice","html-keyboard-response","131","724951","0.0-18.0-3.0-1.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","",""
"1348","Confidence judgment (second response)","","confidence_second","html-keyboard-response","132","726300","0.0-18.0-6.0","32","prefer_not_to_say","","-1","-1","","","","right","60.25","50","60.25","true","61","","","","","","","","","","","","","","","","","","","","","",""
"null","consolidated-trial-data","null","consolidated-trial-data","consolidated-trial-data","133","726301","0.0-19.0","32","prefer_not_to_say","","","","","","","","","","","","","","","0","4","4","238","300","62","right","92","1","yes","left","right","60.25","false","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","134","726752","0.0-20.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=239, right=300, diff=61]","null","numerosity","html-keyboard-response","135","727266","0.0-20.0-1.0","32","prefer_not_to_say","","-1","-1","239","300","61","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1519","Confidence judgement (first response)","","confidence_first","html-keyboard-response","136","728787","0.0-20.0-2.0","32","prefer_not_to_say","","-1","-1","","","","right","92","50","92","true","61","","","","","","","","","","","","","","","","","","","","","",""
"926","[advice choice Y,N]","0","advice_choice","html-button-response","137","729716","0.0-20.0-3.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[advice: right]","null","show_advice","html-keyboard-response","138","730532","0.0-20.0-3.0-1.0-0.0","32","prefer_not_to_say","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","",""
"1502","Confidence judgment (second response)","","confidence_second","html-keyboard-response","139","732033","0.0-20.0-6.0","32","prefer_not_to_say","","-1","-1","","","","right","98.25","50","98.25","true","60","","","","","","","","","","","","","","","","","","","","","",""
