"success","task","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response","question_order"
"","confidence_first","html-keyboard-response","36","1051987","0.0-14.0-2.0","2302.5","Confidence judgement (first response)","","","-1","-1","","","","right","55.5","50","55.5","false","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","37","1053388","0.0-15.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","38","1053894","0.0-15.0-1.0","null","[Dot display: left=300, right=265, diff=35]","null","","-1","-1","300","265","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","39","1055761","0.0-15.0-2.0","1865","Confidence judgement (first response)","","","-1","-1","","","","left","57.25","57.25","50","true","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","40","1057237","0.0-16.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","41","1057754","0.0-16.0-1.0","null","[Dot display: left=300, right=267, diff=33]","null","","-1","-1","300","267","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","42","1059799","0.0-16.0-2.0","2043.2000000029802","Confidence judgement (first response)","","","-1","-1","","","","left","55.75","55.75","50","true","31","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","43","1061277","0.0-17.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","44","1061787","0.0-17.0-1.0","null","[Dot display: left=300, right=269, diff=31]","null","","-1","-1","300","269","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","45","1063499","0.0-17.0-2.0","1710","Confidence judgement (first response)","","","-1","-1","","","","left","57.25","57.25","50","true","28","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","46","1064962","0.0-18.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","47","1065470","0.0-18.0-1.0","null","[Dot display: left=272, right=300, diff=28]","null","","-1","-1","272","300","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","48","1067257","0.0-18.0-2.0","1784.3999999910593","Confidence judgement (first response)","","","-1","-1","","","","left","54.75","54.75","50","false","38","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","49","1068627","0.0-19.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","50","1069136","0.0-19.0-1.0","null","[Dot display: left=300, right=262, diff=38]","null","","-1","-1","300","262","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","51","1070748","0.0-19.0-2.0","1610.6000000089407","Confidence judgement (first response)","","","-1","-1","","","","left","56","56","50","true","36","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","52","1072055","0.0-20.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","53","1072570","0.0-20.0-1.0","null","[Dot display: left=264, right=300, diff=36]","null","","-1","-1","264","300","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","54","1074305","0.0-20.0-2.0","1733.1000000089407","Confidence judgement (first response)","","","-1","-1","","","","right","56.75","50","56.75","true","34","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","55","1075536","0.0-21.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","56","1076053","0.0-21.0-1.0","null","[Dot display: left=300, right=266, diff=34]","null","","-1","-1","300","266","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","57","1078049","0.0-21.0-2.0","1994.5","Confidence judgement (first response)","","","-1","-1","","","","left","56.25","56.25","50","true","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","58","1079381","0.0-22.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","59","1079888","0.0-22.0-1.0","null","[Dot display: left=267, right=300, diff=33]","null","","-1","-1","267","300","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","60","1081649","0.0-22.0-2.0","1759.4000000059605","Confidence judgement (first response)","","","-1","-1","","","","right","55.5","50","55.5","true","32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","61","1083087","0.0-23.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","62","1083605","0.0-23.0-1.0","null","[Dot display: left=268, right=300, diff=32]","null","","-1","-1","268","300","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","63","1085640","0.0-23.0-2.0","2033.2000000029802","Confidence judgement (first response)","","","-1","-1","","","","right","52.5","50","52.5","true","30","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","64","1087070","0.0-24.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","65","1087585","0.0-24.0-1.0","null","[Dot display: left=300, right=270, diff=30]","null","","-1","-1","300","270","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","66","1089158","0.0-24.0-2.0","1570.5","Confidence judgement (first response)","","","-1","-1","","","","left","54.25","54.25","50","true","29","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","67","1090515","0.0-25.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","68","1091028","0.0-25.0-1.0","null","[Dot display: left=271, right=300, diff=29]","null","","-1","-1","271","300","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","69","1092880","0.0-25.0-2.0","1850.1000000089407","Confidence judgement (first response)","","","-1","-1","","","","right","51.75","50","51.75","true","28","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","70","1094112","0.0-26.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","71","1094624","0.0-26.0-1.0","null","[Dot display: left=300, right=272, diff=28]","null","","-1","-1","300","272","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","72","1096387","0.0-26.0-2.0","1761.5","Confidence judgement (first response)","","","-1","-1","","","","left","54.5","54.5","50","true","27","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","73","1097790","0.0-27.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","74","1098310","0.0-27.0-1.0","null","[Dot display: left=273, right=300, diff=27]","null","","-1","-1","273","300","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","75","1100169","0.0-27.0-2.0","1857.9000000059605","Confidence judgement (first response)","","","-1","-1","","","","left","53.75","53.75","50","false","31","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","76","1101462","0.0-28.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","77","1101971","0.0-28.0-1.0","null","[Dot display: left=300, right=269, diff=31]","null","","-1","-1","300","269","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","78","1103710","0.0-28.0-2.0","1737.2999999970198","Confidence judgement (first response)","","","-1","-1","","","","left","54.5","54.5","50","true","30","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","79","1104974","0.0-29.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","80","1105479","0.0-29.0-1.0","null","[Dot display: left=270, right=300, diff=30]","null","","-1","-1","270","300","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","81","1107355","0.0-29.0-2.0","1873.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","54.75","54.75","50","false","34","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","82","1108574","0.0-30.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","83","1109079","0.0-30.0-1.0","null","[Dot display: left=266, right=300, diff=34]","null","","-1","-1","266","300","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","84","1112019","0.0-30.0-2.0","2938.7000000029802","Confidence judgement (first response)","","","-1","-1","","","","right","55.5","50","55.5","true","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","85","1113413","0.0-31.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","86","1113918","0.0-31.0-1.0","null","[Dot display: left=300, right=267, diff=33]","null","","-1","-1","300","267","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","87","1115629","0.0-31.0-2.0","1708.9000000059605","Confidence judgement (first response)","","","-1","-1","","","","left","54.25","54.25","50","true","32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","88","1191840","0.0-32.0-0.0","76209","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","89","1217825","0.0-32.0-0.1","25984","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","90","1233654","0.0-32.0-0.2","15828","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","91","1253846","0.0-32.0-0.3","20191","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","92","1405573","0.0-32.0-0.4","151726","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","93","1418794","0.0-32.0-0.5","13219","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","94","1442079","0.0-32.0-0.6","23284","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","95","1462253","0.0-32.0-0.7","20173","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","96","1484719","0.0-32.0-0.8","22465","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","97","1504155","0.0-32.0-0.9","19435","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","98","1520443","0.0-32.0-0.10","16287","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","99","1540356","0.0-32.0-0.11","19912","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","100","1562821","0.0-32.0-0.12","22464","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","block_message","html-button-response","101","1904071","0.0-33.0","341249","block message","0","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","102","1905335","0.0-34.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","103","1905839","0.0-34.0-1.0","null","[Dot display: left=300, right=268, diff=32]","null","","-1","-1","300","268","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","104","1910654","0.0-34.0-2.0","4812.5","Confidence judgement (first response)","","","-1","-1","","","","right","53.25","50","53.25","false","36","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","105","1913948","0.0-34.0-3.0-0.0","3292","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","106","1914755","0.0-34.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","107","1918162","0.0-34.0-6.0","3404.7999999970198","Confidence judgment (second response)","","","-1","-1","","","","left","94.25","94.25","50","true","36","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","108","1918164","0.0-35.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","0","0","0","300","268","32","right","53.25","false","4812.5","1","yes","left","left","94.25","true","true","3404.7999999970198","","","","","","",""
"","fixation","html-keyboard-response","109","1919522","0.0-36.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","110","1920035","0.0-36.0-1.0","null","[Dot display: left=264, right=300, diff=36]","null","","-1","-1","264","300","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","111","1923265","0.0-36.0-2.0","3227.4000000059605","Confidence judgement (first response)","","","-1","-1","","","","right","52.5","50","52.5","true","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","112","1924992","0.0-36.0-3.0-0.0","1726","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","113","1925798","0.0-36.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","114","1927756","0.0-36.0-6.0","1957.5999999940395","Confidence judgment (second response)","","","-1","-1","","","","left","85","85","50","false","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","115","1927759","0.0-37.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","0","1","1","264","300","36","right","52.5","true","3227.4000000059605","1","yes","left","left","85","false","false","1957.5999999940395","","","","","","",""
"","fixation","html-keyboard-response","116","1929253","0.0-38.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","117","1929773","0.0-38.0-1.0","null","[Dot display: left=265, right=300, diff=35]","null","","-1","-1","265","300","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","118","1932185","0.0-38.0-2.0","2409.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","right","55.5","50","55.5","true","34","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","119","1935451","0.0-38.0-4.0-0.0","3265","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","120","1936254","0.0-38.0-4.0-1.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","121","1949522","0.0-38.0-6.0","13266.90000000596","Confidence judgment (second response)","","","-1","-1","","","","right","92.5","50","92.5","true","34","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","122","1949524","0.0-39.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","0","2","2","265","300","35","right","55.5","true","2409.5999999940395","2","yes","right","right","92.5","true","true","13266.90000000596","","","","","","",""
"","fixation","html-keyboard-response","123","1950790","0.0-40.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","124","1951308","0.0-40.0-1.0","null","[Dot display: left=300, right=266, diff=34]","null","","-1","-1","300","266","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","125","1953721","0.0-40.0-2.0","2411.7000000029802","Confidence judgement (first response)","","","-1","-1","","","","left","86.75","86.75","50","true","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","126","1955106","0.0-40.0-3.0-0.0","1384","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","127","1955907","0.0-40.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","128","1958581","0.0-40.0-6.0","2672.1000000089407","Confidence judgment (second response)","","","-1","-1","","","","left","97.25","97.25","50","true","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","129","1958583","0.0-41.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","0","3","3","300","266","34","left","86.75","true","2411.7000000029802","1","yes","left","left","97.25","true","true","2672.1000000089407","","","","","","",""
"","fixation","html-keyboard-response","130","1959855","0.0-42.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","131","1960364","0.0-42.0-1.0","null","[Dot display: left=267, right=300, diff=33]","null","","-1","-1","267","300","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","132","1963197","0.0-42.0-2.0","2832.1000000089407","Confidence judgement (first response)","","","-1","-1","","","","left","65.5","65.5","50","false","36","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","133","1964441","0.0-42.0-4.0-0.0","1243","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","134","1965244","0.0-42.0-4.0-1.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","","","","","","",""
