"success","task","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","advice_direction","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response","question_order"
"","","html-button-response","12","165545","0.0-6.0","41966","<div style= ""font-size: 24px; color: white"">
                        
                            <p>First, Please hold a credit card up to your screen.</p>
                            <p>Adjust this box until it matches the size of the credit card.</p>
                            <div id=""calibration-box"" style=""
                                width: 506px;
                                height: 319px;
                                border: 2px solid white;
                                background-color: rgba(255,255,255,0.2);
                                margin: 20px auto;
                                resize: both;
                                overflow: hidden;
                            ""></div>
                        </div>
                    ","0","151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","13","166900","0.0-7.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","14","167419","0.0-7.0-1.0","null","[Dot display: left=300, right=250, diff=50]","null","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","15","183428","0.0-7.0-2.0","16000","Confidence judgement (first response)","","","-1","-1","","","","left","80.5","80.5","50","true","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","16","184883","0.0-8.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","17","185400","0.0-8.0-1.0","null","[Dot display: left=250, right=300, diff=50]","null","","-1","-1","250","300","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","18","198974","0.0-8.0-2.0","13570","Confidence judgement (first response)","","","-1","-1","","","","right","61.5","50","61.5","true","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","19","200416","0.0-9.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","20","200932","0.0-9.0-1.0","null","[Dot display: left=300, right=250, diff=50]","null","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","21","204515","0.0-9.0-2.0","3579","Confidence judgement (first response)","","","-1","-1","","","","left","84.25","84.25","50","true","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","22","205925","0.0-10.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","23","206444","0.0-10.0-1.0","null","[Dot display: left=281, right=300, diff=19]","null","","-1","-1","281","300","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","24","208665","0.0-10.0-2.0","2217.000000000029","Confidence judgement (first response)","","","-1","-1","","","","right","75","50","75","true","16","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","25","209899","0.0-11.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","26","210417","0.0-11.0-1.0","null","[Dot display: left=284, right=300, diff=16]","null","","-1","-1","284","300","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","27","212381","0.0-11.0-2.0","1960.999999999971","Confidence judgement (first response)","","","-1","-1","","","","right","82.5","50","82.5","true","14","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","28","213706","0.0-12.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","29","214222","0.0-12.0-1.0","null","[Dot display: left=286, right=300, diff=14]","null","","-1","-1","286","300","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","30","216249","0.0-12.0-2.0","2023.000000000029","Confidence judgement (first response)","","","-1","-1","","","","left","83.25","83.25","50","false","24","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","31","217599","0.0-13.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","32","218116","0.0-13.0-1.0","null","[Dot display: left=300, right=276, diff=24]","null","","-1","-1","300","276","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","33","223149","0.0-13.0-2.0","5029","Confidence judgement (first response)","","","-1","-1","","","","right","60","50","60","false","32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","34","224412","0.0-14.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","35","224926","0.0-14.0-1.0","null","[Dot display: left=300, right=268, diff=32]","null","","-1","-1","300","268","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","36","227783","0.0-14.0-2.0","2852","Confidence judgement (first response)","","","-1","-1","","","","left","84.75","84.75","50","true","31","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","37","229207","0.0-15.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","38","229724","0.0-15.0-1.0","null","[Dot display: left=300, right=269, diff=31]","null","","-1","-1","300","269","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","39","233266","0.0-15.0-2.0","3538","Confidence judgement (first response)","","","-1","-1","","","","right","84.5","50","84.5","false","37","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","40","234743","0.0-16.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","41","235261","0.0-16.0-1.0","null","[Dot display: left=300, right=263, diff=37]","null","","-1","-1","300","263","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","42","237083","0.0-16.0-2.0","1818","Confidence judgement (first response)","","","-1","-1","","","","left","77.75","77.75","50","true","36","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","43","238519","0.0-17.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","44","239037","0.0-17.0-1.0","null","[Dot display: left=264, right=300, diff=36]","null","","-1","-1","264","300","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","45","241066","0.0-17.0-2.0","2025","Confidence judgement (first response)","","","-1","-1","","","","right","85.5","50","85.5","true","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","46","242409","0.0-18.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","47","242927","0.0-18.0-1.0","null","[Dot display: left=265, right=300, diff=35]","null","","-1","-1","265","300","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","48","244383","0.0-18.0-2.0","1453","Confidence judgement (first response)","","","-1","-1","","","","right","81.75","50","81.75","true","34","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","49","245834","0.0-19.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","50","246352","0.0-19.0-1.0","null","[Dot display: left=266, right=300, diff=34]","null","","-1","-1","266","300","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","51","248082","0.0-19.0-2.0","1726.999999999971","Confidence judgement (first response)","","","-1","-1","","","","right","83.25","50","83.25","true","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","52","249322","0.0-20.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","53","249841","0.0-20.0-1.0","null","[Dot display: left=267, right=300, diff=33]","null","","-1","-1","267","300","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","54","252965","0.0-20.0-2.0","3121.000000000029","Confidence judgement (first response)","","","-1","-1","","","","right","98.5","50","98.5","true","32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","55","254267","0.0-21.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","56","254785","0.0-21.0-1.0","null","[Dot display: left=268, right=300, diff=32]","null","","-1","-1","268","300","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","57","258117","0.0-21.0-2.0","3328.000000000029","Confidence judgement (first response)","","","-1","-1","","","","right","56.75","50","56.75","true","31","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","58","259549","0.0-22.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","59","260066","0.0-22.0-1.0","null","[Dot display: left=300, right=269, diff=31]","null","","-1","-1","300","269","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","60","261717","0.0-22.0-2.0","1647","Confidence judgement (first response)","","","-1","-1","","","","left","87.25","87.25","50","true","30","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","61","263159","0.0-23.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","62","263678","0.0-23.0-1.0","null","[Dot display: left=270, right=300, diff=30]","null","","-1","-1","270","300","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","63","265201","0.0-23.0-2.0","1519","Confidence judgement (first response)","","","-1","-1","","","","right","79","50","79","true","30","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","64","266458","0.0-24.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","65","266976","0.0-24.0-1.0","null","[Dot display: left=270, right=300, diff=30]","null","","-1","-1","270","300","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","66","268351","0.0-24.0-2.0","1371","Confidence judgement (first response)","","","-1","-1","","","","right","98.25","50","98.25","true","29","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","67","269596","0.0-25.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","68","270122","0.0-25.0-1.0","null","[Dot display: left=300, right=271, diff=29]","null","","-1","-1","300","271","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","69","272018","0.0-25.0-2.0","1891","Confidence judgement (first response)","","","-1","-1","","","","right","58.5","50","58.5","false","32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","70","273419","0.0-26.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","71","273936","0.0-26.0-1.0","null","[Dot display: left=300, right=268, diff=32]","null","","-1","-1","300","268","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","72","275484","0.0-26.0-2.0","1543.9999999999418","Confidence judgement (first response)","","","-1","-1","","","","right","83.75","50","83.75","false","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","73","276960","0.0-27.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","74","277478","0.0-27.0-1.0","null","[Dot display: left=265, right=300, diff=35]","null","","-1","-1","265","300","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","75","278784","0.0-27.0-2.0","1303","Confidence judgement (first response)","","","-1","-1","","","","right","89","50","89","true","34","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","76","280228","0.0-28.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","77","280746","0.0-28.0-1.0","null","[Dot display: left=266, right=300, diff=34]","null","","-1","-1","266","300","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","78","282887","0.0-28.0-2.0","2137","Confidence judgement (first response)","","","-1","-1","","","","left","85","85","50","false","37","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","79","284105","0.0-29.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","80","284620","0.0-29.0-1.0","null","[Dot display: left=263, right=300, diff=37]","null","","-1","-1","263","300","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","81","287639","0.0-29.0-2.0","3015","Confidence judgement (first response)","","","-1","-1","","","","right","63","50","63","true","36","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","82","288881","0.0-30.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","83","289398","0.0-30.0-1.0","null","[Dot display: left=300, right=264, diff=36]","null","","-1","-1","300","264","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","84","291038","0.0-30.0-2.0","1637","Confidence judgement (first response)","","","-1","-1","","","","left","90","90","50","true","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","85","292354","0.0-31.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","86","292873","0.0-31.0-1.0","null","[Dot display: left=300, right=265, diff=35]","null","","-1","-1","300","265","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","87","294623","0.0-31.0-2.0","1745","Confidence judgement (first response)","","","-1","-1","","","","left","88.75","88.75","50","true","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","88","301056","0.0-32.0-0.0","6429","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","89","308044","0.0-32.0-0.1","6984","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","90","313994","0.0-32.0-0.2","5947","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","91","319127","0.0-32.0-0.3","5131","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","92","323602","0.0-32.0-0.4","4472","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","93","327878","0.0-32.0-0.5","4273","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","94","333378","0.0-32.0-0.6","5498","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","95","339525","0.0-32.0-0.7","6144","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","96","352117","0.0-32.0-0.8","12589","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","97","356916","0.0-32.0-0.9","4795","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","98","402981","0.0-32.0-0.10","46062","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","99","408368","0.0-32.0-0.11","5385","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","100","506536","0.0-32.0-0.12","98054","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","block_message","html-button-response","101","511970","0.0-33.0","5431","block message","0","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","102","513253","0.0-34.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","103","513771","0.0-34.0-1.0","null","[Dot display: left=300, right=265, diff=35]","null","","-1","-1","300","265","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","104","521604","0.0-34.0-2.0","7829","Confidence judgement (first response)","","","-1","-1","","","","right","83.75","50","83.75","false","37","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","105","523404","0.0-34.0-5.0-0.0","1798","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","106","524207","0.0-34.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","107","526789","0.0-34.0-6.0","2575","Confidence judgment (second response)","","","-1","-1","","","","right","83.75","50","83.75","false","37","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","108","526792","0.0-35.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","0","0","300","265","35","right","83.75","false","7829","3","nan","none","right","83.75","nan","false","2575","","","","","","","",""
"","fixation","html-keyboard-response","109","528019","0.0-36.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","110","528536","0.0-36.0-1.0","null","[Dot display: left=300, right=263, diff=37]","null","","-1","-1","300","263","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","111","530972","0.0-36.0-2.0","2432","Confidence judgement (first response)","","","-1","-1","","","","right","98","50","98","false","40","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","112","532355","0.0-36.0-3.0-0.0","1380","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","113","533160","0.0-36.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","left","","","","","","",""
"","confidence_second","html-keyboard-response","114","537655","0.0-36.0-6.0","4491","Confidence judgment (second response)","","","-1","-1","","","","left","97","97","50","true","40","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","115","537659","0.0-37.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","1","1","300","263","37","right","98","false","2432","1","yes","left","left","97","true","true","4491","","","","","","","",""
"","fixation","html-keyboard-response","116","539065","0.0-38.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","117","539580","0.0-38.0-1.0","null","[Dot display: left=260, right=300, diff=40]","null","","-1","-1","260","300","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","118","541757","0.0-38.0-2.0","2173","Confidence judgement (first response)","","","-1","-1","","","","right","90.25","50","90.25","true","39","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","119","543005","0.0-38.0-4.0-0.0","1246","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","120","543808","0.0-38.0-4.0-1.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","left","","","","","","",""
"","confidence_second","html-keyboard-response","121","548554","0.0-38.0-6.0","4742","Confidence judgment (second response)","","","-1","-1","","","","left","51","51","50","false","39","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","122","548557","0.0-39.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","2","2","260","300","40","right","90.25","true","2173","2","yes","left","left","51","false","false","4742","","","","","","","",""
"","fixation","html-keyboard-response","123","549867","0.0-40.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","124","550386","0.0-40.0-1.0","null","[Dot display: left=300, right=261, diff=39]","null","","-1","-1","300","261","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","125","554092","0.0-40.0-2.0","3702","Confidence judgement (first response)","","","-1","-1","","","","left","82.75","82.75","50","true","38","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","126","555256","0.0-40.0-3.0-0.0","1162","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","127","556060","0.0-40.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","left","","","","","","",""
"","confidence_second","html-keyboard-response","128","557039","0.0-40.0-6.0","976","Confidence judgment (second response)","","","-1","-1","","","","left","82.75","82.75","50","true","38","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","129","557042","0.0-41.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","3","3","300","261","39","left","82.75","true","3702","1","yes","left","left","82.75","true","true","976","","","","","","","",""
"","fixation","html-keyboard-response","130","558349","0.0-42.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","131","558866","0.0-42.0-1.0","null","[Dot display: left=262, right=300, diff=38]","null","","-1","-1","262","300","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","132","560724","0.0-42.0-2.0","1854","Confidence judgement (first response)","","","-1","-1","","","","right","98.75","50","98.75","true","38","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","133","561790","0.0-42.0-4.0-0.0","1064","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","134","562593","0.0-42.0-4.0-1.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","right","","","","","","",""
"","confidence_second","html-keyboard-response","135","563623","0.0-42.0-6.0","1026","Confidence judgment (second response)","","","-1","-1","","","","right","98.75","50","98.75","true","38","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","136","563626","0.0-43.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","4","4","262","300","38","right","98.75","true","1854","2","yes","right","right","98.75","true","true","1026","","","","","","","",""
"","fixation","html-keyboard-response","137","565102","0.0-44.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","138","565617","0.0-44.0-1.0","null","[Dot display: left=300, right=262, diff=38]","null","","-1","-1","300","262","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
